id,year,state_name,state_code,district_name,district_code,registration_circles,rape,attempt_to_commit_rape,kidnapping_and_abduction,dowry_deaths,assault_on_women,insult_to_the_modesty_of_women,cruelty_by_husband_relatives,importation_of_girls_from_foreign,abetment_of_suicides_of_women,dowry_prohibition,indecent_representation_of_women,protection_of_women_from_domestic_violence,immoral_traffic_prevention,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,human_trafficking,un_natural_offences
584,2016,Rajasthan,8,Jodhpur,107,Jodhpur Rural,55,0,58,15,92,0,141,0,2,0,1,0,0,0,0,0,0,0,0
585,2016,Rajasthan,8,Karauli,108,Karauli,80,24,78,14,73,0,205,0,0,0,0,0,0,0,0,0,0,0,0
586,2016,Rajasthan,8,Kota,109,Kota City,94,1,137,9,115,0,320,0,2,0,0,0,0,0,0,0,0,0,0
587,2016,Rajasthan,8,Kota,109,Kota Rural,56,0,65,4,151,0,187,0,3,0,0,0,0,0,0,0,0,0,0
588,2016,Rajasthan,8,Nagaur,110,Nagaur,98,0,106,12,85,0,441,0,8,0,0,0,2,0,0,0,0,0,0
589,2016,Rajasthan,8,Pali,111,Pali,92,0,148,6,190,0,465,0,4,0,0,0,1,0,0,0,0,0,0
590,2016,Rajasthan,8,Pratapgarh,629,Pratapgarh,134,4,60,6,124,0,231,0,5,0,0,0,0,0,0,0,0,0,0
591,2016,Rajasthan,8,Rajsamand,112,Rajsamand,43,0,33,5,52,2,226,0,4,0,1,0,2,0,0,0,0,0,0
592,2016,Rajasthan,8,Sawai Madhopur,113,Sawai Madhopur,64,19,90,8,89,0,230,0,2,0,0,0,11,0,0,0,0,0,0
593,2016,Rajasthan,8,Sikar,114,Sikar,76,6,98,13,117,0,419,0,2,0,0,0,0,0,0,0,0,0,0
594,2016,Rajasthan,8,Sirohi,115,Sirohi,44,7,67,3,71,0,189,0,2,0,0,0,0,0,0,0,0,0,0
